site,crit,browser,lt,fp,fcp,e
448,yale,1,chrome,957,787.3,787.3,4.420392172
449,yale,1,chrome,1000,851.5,851.5,2.061530645
450,yale,1,chrome,1974,1495,1495,6.293826226
451,yale,1,firefox,1105,375.3,643,6.277730038
452,yale,1,firefox,2032,757.6,754,11.2441905995
453,yale,1,firefox,1071,1187.4,549,9.290412799
454,yale,1,firefox,1128,4995.5,654,9.3537965455
455,yale,1,firefox,1115,824.5,656,9.996999229
456,yale,1,firefox,979,1302.8,712,8.1265161275
457,yale,1,firefox,1002,1226.7,561,7.543569262
458,yale,1,firefox,891,1422.5,552,10.3496859435
459,yale,1,firefox,2086,2451.6,1649,9.0711771635
460,yale,1,firefox,892,933.6,577,8.141907221
461,docusign,1,chrome,1470,2268.6,2268.6,9.527156657
462,docusign,1,chrome,1504,2280,2280,11.8547998015
463,docusign,1,chrome,1635,2408,2408,18.207190316
464,docusign,1,chrome,1443,2226,2226,10.471923796
465,docusign,1,chrome,1670,2437.8,2437.8,12.251047167
466,docusign,1,chrome,1588,2397.4,2397.4,2.172618508
467,docusign,1,chrome,1528,2337.4,2337.4,14.375423651
468,docusign,1,chrome,2153,3448.2,3448.2,10.0804857595
469,docusign,1,chrome,2423,4089.1,4089.1,47.3426507175
470,docusign,1,chrome,1442,2197.6,2197.6,12.4101303345
471,docusign,1,firefox,1443,981.1,1325,14.049422137
